iso3,year
MAR,2003
AFG,2009
AGO,2005
ALB,2007
ARG,2004
ARM,2004
AZE,2005
BDI,2003
BEN,2003
BFA,2003
BGD,2006
BGR,2004
BIH,2007
BLR,2005
BLZ,2005
BOL,2005
BRA,2007
BTN,2008
BWA,2005
CAF,2004
CHL,2005
CHN,2004
CIV,2004
CMR,2005
COD,2005
COG,2007
COL,2005
COM,2006
CPV,2010
CRI,2004
CUB,2003
DJI,2005
DOM,2005
DZA,2005
ECU,2005
EGY,2008
ERI,2005
EST,2004
ETH,2004
GAB,2005
GEO,2004
GHA,2003
GIN,2004
GMB,2004
GNB,2005
GNQ,2005
GTM,2005
GUY,2005
HND,2004
HRV,2004
HTI,2003
IDA,2004
IDN,2003
IND,2005
IRN,2006
JAM,2005
JOR,2004
KAZ,2004
KEN,2004
KGZ,2004
KHM,2003
KOS,2006
LAO,2004
LBR,2005
LKA,2008
LSO,2004
MAC,2011
MAS,2011
MAT,2012
MAW,2008
MDA,2003
MDG,2004
MDV,2007
MEX,2011
MKD,2004
MLI,2005
MMM,2013
MMR,2011
MNE,2006
MNG,2003
MOZ,2005
MRT,2006
MSA,2013
MUS,2010
MWI,2004
MWP,2008
MYS,2011
NAM,2005
NER,2004
NGA,2004
NIC,2004
NPL,2005
PAK,2005
PAN,2012
PER,2004
PHL,2004
PNG,2006
PRY,2007
PSE,2009
QNA,2015
QNB,2005
QPA,2016
QRA,2014
QRB,2005
QUA,2003
ROU,2004
RUS,2005
RWA,2003
SDN,2005
SEN,2003
SLE,2005
SLV,2004
SOM,2006
SRB,2004
SSD,2007
STP,2006
SUR,2005
SWZ,2004
SYR,2013
TCD,2004
TGO,2004
THA,2003
TJK,2003
TLS,2008
TUN,2008
TUR,2006
TZA,2005
UGA,2005
UKR,2004
URY,2012
UZB,2005
VNM,2005
YEM,2005
ZAF,2004
ZAN,2004
ZMB,2003
ZWE,2005
