iso3,year
AFG,2007
AGO,2005
AZE,2009
BDI,2004
BEN,2004
BFA,2004
BGD,2007
BOL,2005
BTN,2006
BWA,2015
CAF,2006
CHN,2003
CIV,2008
CMR,2005
COD,2005
COG,2012
COL,2010
COM,2005
CPV,2012
DJI,2008
DOM,2009
ECU,2010
ERI,2005
ETH,2004
GAB,2005
GEO,2005
GHA,2004
GIN,2005
GMB,2004
GNB,2006
GNQ,2007
GTM,2007
GUY,2005
HND,2004
HTI,2005
IDA,2006
IDN,2003
IND,2009
IRN,2008
KEN,2004
KGZ,2006
KHM,2004
LAO,2003
LBR,2005
LKA,2004
MAF,2008
MAS,2007
MDG,2004
MLI,2004
MMR,2011
MNG,2010
MOZ,2005
MRT,2004
MWI,2006
MWP,2007
NAM,2005
NER,2004
NGA,2005
NIC,2004
NPL,2005
PAK,2005
PHL,2004
PNG,2004
PRK,2010
QNB,2016
QRB,2006
QSE,2014
QUA,2004
RWA,2005
SDN,2005
SEN,2003
SLE,2006
SOM,2005
SSD,2005
STP,2005
SUR,2006
SWZ,2003
TCD,2009
TGO,2004
THA,2004
TJK,2006
TLS,2005
TZA,2006
UGA,2006
UZB,2005
VNM,2006
YEM,2005
ZAF,2005
ZAN,2003
ZMB,2003
ZWE,2003
